,PM,date,publish_date,activities
1003,Shinzo_Abe,10月17日,2015-10-18,▽9時58分　防衛省で自衛隊殉職隊員追悼式。▽11時19分　富ケ谷の私邸着。▽12時57分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽14時37分　私邸着。 
1043,Shinzo_Abe,11月28日,2015-11-29,▽11時1分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽12時10分　帝国ホテルで重光昭夫韓国ロッテグループ会長の長男の結婚披露宴。▽14時24分　富ケ谷の私邸着。▽18時35分　グランドプリンスホテル高輪で超党派議員連盟「創生日本」の東京研修会懇親会。▽20時　私邸着。 
1070,Shinzo_Abe,12月26日,2015-12-27,▽11時10分　富ケ谷の私邸着。▽15時59分　ヒルトン東京の「村儀理容室」で散髪。▽17時19分　渋谷の東急百貨店本店で買い物。▽18時30分　虎ノ門のホテル「アンダーズ東京」のレストラン「アンダーズ　タヴァン」で昭恵夫人とともに北村情報官夫妻、田中財務次官夫妻、林外務省欧州局長夫妻ら。▽20時57分　私邸着。 
1083,Shinzo_Abe,1月9日,2016-01-10,▽10時17分　富ケ谷の私邸発。▽10時25分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽12時10分　ザ・キャピトルホテル東急のレストラン「ＯＲＩＧＡＭＩ」で秘書官。▽13時30分　紀尾井町のＮＨＫ千代田放送会館で番組の収録。▽14時46分　私邸着。 
1154,Shinzo_Abe,3月20日,2016-03-21,▽9時18分　富ケ谷の私邸発。▽9時34分　皇居で春季皇霊祭・神殿祭の儀。▽11時8分　公邸着。▽11時28分　東京メトロ霞ケ関駅で地下鉄サリン事件犠牲者に献花、記帳。続いて報道各社のインタビュー。▽11時46分　私邸着。▽15時23分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽17時13分　私邸着。 
1195,Shinzo_Abe,4月30日,2016-05-01,▽10時37分　富ケ谷の私邸発。▽11時5分　官邸で地震非常災害対策本部会議。▽13時38分　私邸着。▽16時23分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽18時10分　私邸着。 
1216,Shinzo_Abe,5月22日,2016-05-23,　午前中は富ケ谷の私邸で過ごす。▽13時25分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽15時15分　私邸着。▽15時58分　東京・上野公園の東京芸大大学美術館でアフガニスタン特別企画展「素心　バーミヤン大仏天井壁画」を視察。宮廻正明同大大学院教授、谷内国家安全保障局長、長嶺外務審議官らが同行。▽16時53分　両国国技館で日本相撲協会の八角理事長。▽17時3分　大相撲夏場所を観戦。続いてカルロス・アルマーダ駐日メキシコ大使。▽17時44分　優勝した横綱・白鵬に表彰状と内閣総理大臣杯を授与。この後、報道各社のインタビュー。▽18時17分　私邸着。▽18時41分　渋谷区上原のレストラン「セララバアド」で河野外務省中東和平担当特使、昭恵夫人、母の洋子さんら。▽21時37分　私邸着。 
1243,Shinzo_Abe,6月19日,2016-06-20,▽6時48分　富ケ谷の私邸発。▽7時33分　台場のフジテレビで報道番組に出演。▽9時　紀尾井町のＮＨＫ千代田放送会館で討論番組に出演。▽10時22分　党本部着。▽11時29分　千葉県船橋市のＪＲ船橋駅前で街頭演説。▽12時18分　市川市の料理店「味のうえだ南店山荘」で桜田義孝衆院議員ら。▽13時6分　ＪＲ市川駅前で街頭演説。▽14時17分　公邸で北村情報官。▽16時16分　東京都武蔵野市のＪＲ吉祥寺駅前で街頭演説。▽17時36分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽18時43分　私邸着。▽20時2分　六本木のライブハウス「ニコファーレ」で動画サイト「ニコニコ」など主催の党首討論会。▽21時47分　私邸着。 
1264,Shinzo_Abe,7月10日・11日,2016-07-11,〈10日〉▽11時19分　富ケ谷の私邸発。▽11時28分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽13時6分　私邸着。▽19時58分　党本部で谷垣幹事長、二階総務会長、細田幹事長代行、下村総裁特別補佐ら。▽22時　テレビ各局の報道番組に出演。この後、ラジオ各局の報道番組に出演。続いて動画サイト「ニコニコ動画」に出演。▽23時3分　小野寺政調会長代理。▽23時28分　石原経済再生相。〈11日〉▽0時36分　私邸着。 
1292,Shinzo_Abe,8月7日,2016-08-08,　午前中は公邸で過ごす。▽15時46分　ヒルトン東京の「村儀理容室」で散髪。▽17時23分　富ケ谷の私邸着。 
