date_est,year,month,day,year_month,yy_mm,yy_mmm,PM
2013-07-01,2013,7,1,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-02,2013,7,2,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-03,2013,7,3,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-04,2013,7,4,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-05,2013,7,5,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-06,2013,7,6,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-07,2013,7,7,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-08,2013,7,8,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-09,2013,7,9,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-10,2013,7,10,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-11,2013,7,11,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-12,2013,7,12,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-13,2013,7,13,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-14,2013,7,14,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-15,2013,7,15,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-16,2013,7,16,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-17,2013,7,17,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-18,2013,7,18,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-19,2013,7,19,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-20,2013,7,20,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-21,2013,7,21,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-22,2013,7,22,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-23,2013,7,23,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-24,2013,7,24,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-25,2013,7,25,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-26,2013,7,26,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-27,2013,7,27,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-28,2013,7,28,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-29,2013,7,29,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-30,2013,7,30,20137,2013-07,2013-Jul,Shinzo_Abe
2013-07-31,2013,7,31,20137,2013-07,2013-Jul,Shinzo_Abe
2013-08-01,2013,8,1,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-02,2013,8,2,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-03,2013,8,3,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-04,2013,8,4,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-05,2013,8,5,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-06,2013,8,6,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-07,2013,8,7,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-08,2013,8,8,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-09,2013,8,9,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-10,2013,8,10,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-11,2013,8,11,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-12,2013,8,12,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-13,2013,8,13,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-14,2013,8,14,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-15,2013,8,15,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-16,2013,8,16,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-17,2013,8,17,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-18,2013,8,18,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-19,2013,8,19,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-20,2013,8,20,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-21,2013,8,21,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-22,2013,8,22,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-23,2013,8,23,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-24,2013,8,24,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-25,2013,8,25,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-26,2013,8,26,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-27,2013,8,27,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-28,2013,8,28,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-29,2013,8,29,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-30,2013,8,30,20138,2013-08,2013-Aug,Shinzo_Abe
2013-08-31,2013,8,31,20138,2013-08,2013-Aug,Shinzo_Abe
2013-09-01,2013,9,1,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-02,2013,9,2,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-03,2013,9,3,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-04,2013,9,4,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-05,2013,9,5,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-06,2013,9,6,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-07,2013,9,7,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-08,2013,9,8,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-09,2013,9,9,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-10,2013,9,10,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-11,2013,9,11,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-12,2013,9,12,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-13,2013,9,13,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-14,2013,9,14,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-15,2013,9,15,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-16,2013,9,16,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-17,2013,9,17,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-18,2013,9,18,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-19,2013,9,19,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-20,2013,9,20,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-21,2013,9,21,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-22,2013,9,22,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-23,2013,9,23,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-24,2013,9,24,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-25,2013,9,25,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-26,2013,9,26,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-27,2013,9,27,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-28,2013,9,28,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-29,2013,9,29,20139,2013-09,2013-Sep,Shinzo_Abe
2013-09-30,2013,9,30,20139,2013-09,2013-Sep,Shinzo_Abe
2013-10-01,2013,10,1,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-02,2013,10,2,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-03,2013,10,3,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-04,2013,10,4,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-05,2013,10,5,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-06,2013,10,6,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-07,2013,10,7,201310,2013-10,2013-Oct,Shinzo_Abe
