date_est,year_month,year,month,day,year_month,yy_mm,yy_mmm,PM,haircut,walking,golf,massage,interview,air_force_one,date,activities
2013-01-15,20131.0,2013,1,15,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月15日,▽7時54分　富ケ谷の私邸発。▽8時22分　官邸で麻生財務相、真砂財務次官。木下財務省主計局長が加わる。▽9時20分　党本部で参院山口補選の立候補予定者に公認証渡し。続いて党役員会。▽10時1分　官邸で閣議。この後、財務相、甘利経済再生相。入れ替わりに斎木外務審議官、谷口元外務副報道官。▽11時36分　竹崎最高裁長官。▽12時1分　浜田、本田両内閣参与、伊藤元重東大教授、中原伸之元日銀審議委員ら。財務相、経済再生相、菅官房長官らが同席。▽13時36分　古屋拉致担当相、三谷拉致問題対策本部事務局長代理。山本沖縄・北方相が続く。▽14時49分　国と地方の協議の場。続いて重光昭夫ロッテグループ会長。▽15時11分　谷口元外務副報道官。この後、村井宮城県知事、達増岩手県知事ら。根本復興相が同席。▽16時9分　文科省で教育再生実行会議担当室の看板掛け。▽16時23分　官邸で岸田外相、官房長官、河相外務次官ら。▽17時6分　小野寺防衛相、岩崎防衛省統合幕僚長。入れ替わりに猪瀬東京都知事。共同通信社の石川聡社長らが続く。▽17時43分　経済再生相。続いて安全保障会議。▽18時32分　臨時閣議。▽19時4分　公邸で吉田博美参院幹事長代理、関口昌一参院国対委員長代理ら。▽20時41分　ジャーナリストの田原総一朗氏。▽21時28分　私邸着。 
2013-01-16,20131.0,2013,1,16,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,YES!,1月16日,（日本時間）▽9時15分　富ケ谷の私邸発。▽9時50分　羽田空港で報道各社のインタビュー。▽10時20分　ベトナム、タイ、インドネシア3カ国歴訪のため昭恵夫人とともに政府専用機で同空港発。（現地時間）　午後　ハノイのノイバイ国際空港着。国家主席府で歓迎式典。首相府でグエン・タン・ズン首相と首脳会談。　夕　共同記者発表。ベトナム共産党本部でグエン・フー・チョン書記長と会談。国家主席府でチュオン・タン・サン国家主席を表敬。　夜　ホテル・ニッコー・ハノイでフートゥー村の小学校の児童ら。国際コンベンションセンターでズン首相夫妻主催の晩さん会。ホテル・ニッコー・ハノイに宿泊。 
2013-01-17,20131.0,2013,1,17,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,YES!,1月17日,（現地時間）　朝　ホテル・ニッコー・ハノイで報道各社のインタビュー。政府専用機でハノイのノイバイ国際空港発。　午前　バンコクのドンムアン空港着。　昼　フォーシーズンズ・ホテルで在留邦人と懇談。　午後　泰日工業大学を視察。フォーシーズンズ・ホテルで同行記者と懇談。キャメロン英首相と電話。シリラート病院でプミポン国王。　夜　首相府で歓迎式典。タイのインラック首相と会談。共同記者発表。インラック首相主催の晩さん会。フォーシーズンズ・ホテルに宿泊。 
2013-01-18,20131.0,2013,1,18,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,YES!,1月17日・18日,（現地時間）〈17日〉　夜　バンコクのフォーシーズンズ・ホテルでアルジェリアのセラル首相と電話。同ホテルに宿泊。〈18日〉　朝　政府専用機でバンコクのドンムアン空港発。　午前　ジャカルタのハリム空港着。　午後　ホテルインドネシア・ケンピンスキー・ジャカルタで報道各社のインタビュー。フジテレビのインタビュー。　夕　大統領宮殿で歓迎式典。少人数会合。インドネシアのユドヨノ大統領と会談。共同記者会見。ホテルインドネシア・ケンピンスキー・ジャカルタ着。　夜　政府専用機でジャカルタのハリム空港発。 
2013-01-19,20131.0,2013,1,19,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,YES!,1月19日,▽3時54分　政府専用機で羽田空港着。▽4時28分　官邸で菅官房長官、加藤、世耕両官房副長官、河相外務次官ら。菅長官が残る。▽6時1分　在アルジェリア邦人拘束事件対策本部会議。続いて報道各社のインタビュー。▽6時23分　危機管理センター。▽7時15分　富ケ谷の私邸着。▽17時46分　官邸で加藤、杉田両副長官、米村危機管理監、北村情報官、外務省の斎木外務審議官、平松総合外交政策局長。▽18時　キャメロン英首相と電話。この後、報道各社のインタビュー。▽18時30分　ザ・キャピトルホテル東急で山口公明党代表。▽18時50分　同ホテルの日本料理店「水簾」で渡辺みんなの党代表、塩崎政調会長代理、高橋洋一嘉悦大教授ら。▽21時14分　官邸で加藤副長官、斎木外務審議官、平松総合外交政策局長。▽21時25分　ノルウェーのストルテンベルグ首相と電話。 
2013-01-20,20131.0,2013,1,20,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月20日,▽0時30分　官邸でアルジェリアのセラル首相と電話。この後、報道各社のインタビュー。▽1時6分　富ケ谷の私邸着。▽9時19分　私邸発。▽10時2分　官邸で在アルジェリア邦人拘束事件対策本部会議。続いて報道各社のインタビュー。▽10時37分　防衛省で殉職隊員慰霊碑に献花。この後、栄誉礼、儀仗（ぎじょう）。▽11時5分　ゴラン高原派遣輸送隊隊旗返還式。続いて小野寺防衛相、石破幹事長ら。中央指揮所を視察。▽13時29分　官邸で岸田外相、外務省の河相次官、伊原北米局長ら。▽14時15分　米村危機管理監、北村情報官、河相次官、斎木外務審議官ら。▽15時11分　私邸着。▽16時48分　私邸発。▽17時12分　公邸で石破幹事長。▽18時45分　フランスのオランド大統領と電話。▽19時3分　麻生財務相、財務省の真砂次官、木下主計局長、田中主税局長、古沢理財局長ら。財務相、次官、田中局長が残る。▽20時11分　私邸着。 
2013-01-21,20131.0,2013,1,21,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月21日,▽8時54分　富ケ谷の私邸発。▽9時7分　皇居で帰国の記帳。内奏。▽10時30分　官邸で飯島内閣参与。続いて岸田外相、外務省の平松総合外交政策局長。▽11時7分　社会保障制度改革国民会議。この後、和泉補佐官に辞令交付。▽13時5分　甘利経済再生相、松元内閣府次官、松山内閣府審議官。▽13時58分　世耕官房副長官。▽14時9分　菅官房長官、加藤、世耕、杉田各官房副長官。▽16時　北村情報官。続いて小笠原総務次官、田中、大石両総務審議官ら。▽19時18分　世界経済フォーラム年次総会（ダボス会議）向けのビデオメッセージ収録。▽21時43分　杉田副長官。▽22時49分　在アルジェリア邦人拘束事件対策本部会議。▽23時12分　私邸着。 
2013-01-22,20131.0,2013,1,22,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月22日,▽9時　富ケ谷の私邸発。▽9時32分　党本部で党役員会。▽10時3分　官邸で閣議。この後、西川法務次官。▽11時5分　安達経産次官、高原資源エネルギー庁長官。入れ替わりに佐藤国交次官。▽14時8分　下村文科相、山中文科審議官ら。この後、山口経理局長。▽14時41分　麻生財務相、甘利経財相、白川日銀総裁。菅官房長官が同席。続いて報道各社のインタビュー。▽15時　党本部で全国幹事長会議。▽15時43分　官邸で厚労省の金子次官、岡崎職業安定局長、村木社会・援護局長。▽16時25分　経財相。続いて鈴木外務副大臣、平松外務省総合外交政策局長。▽18時12分　経済財政諮問会議。▽21時54分　六本木のテレビ朝日で番組に出演。▽23時3分　私邸着。 
2013-01-23,20131.0,2013,1,23,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月23日,▽8時4分　富ケ谷の私邸発。▽8時31分　官邸で産業競争力会議。続いて竹中平蔵慶大教授。▽9時53分　河井衆院外務委員長。▽10時6分　北村情報官、防衛省の西防衛政策局長、木野村情報本部長。情報官が残る。▽10時50分　谷内内閣参与。入れ替わりに松元内閣府次官、清水、松山両内閣府審議官。▽12時1分　日韓・韓日協力委員会の韓国側の李承潤副会長、日本側の渡辺秀央副会長ら。▽13時1分　麻生副総理。▽13時32分　月例経済報告関係閣僚会議。▽14時3分　皆川農水次官ら。入れ替わりに森口文科次官ら。▽15時19分　プロ野球の阿部慎之助選手に日本プロスポーツ大賞内閣総理大臣賞授与。▽15時56分　根本復興相。続いて山本沖縄・北方相。▽16時39分　石原環境相、斎藤環境政務官、池田原子力規制庁長官ら。入れ替わりに河相外務次官、斎木外務審議官。▽18時11分　河村選対委員長。▽19時49分　米村危機管理監。▽21時2分　私邸着。 
2013-01-24,20131.0,2013,1,24,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月24日,▽8時16分　富ケ谷の私邸発。▽8時33分　官邸で稲田行革相。▽9時15分　規制改革会議。続いて前田スイス兼リヒテンシュタイン大使ら。▽10時2分　教育再生実行会議。▽11時35分　共同通信のインタビュー。▽12時6分　山本宇宙政策担当相。▽13時　麻生財務相、財務省の真砂次官、田中主税局長。古沢理財局長が加わる。入れ替わりに甘利経済再生相、松元内閣府次官、松山内閣府審議官ら。▽13時59分　麻布台の霊友会釈迦殿で「いんなあとりっぷ新春懇話会」。▽14時31分　党本部で都議選立候補予定者。石破幹事長が同席。▽15時10分　官邸で北村情報官。この後、井上弘民放連会長ら。▽15時47分　川口党沖縄振興調査会長、額賀元財務相。入れ替わりに財務相、財務次官、木下財務省主計局長。▽16時31分　「世界青年の船」事業参加青年代表ら。▽17時3分　経済財政諮問会議。続いて臨時閣議。▽18時17分　経済再生相。この後、茂木経産相。▽19時43分　公邸で木村、礒崎、衛藤各補佐官。▽21時34分　私邸着。 
2013-01-25,20131.0,2013,1,25,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月25日,▽8時6分　富ケ谷の私邸発。▽8時22分　官邸で根本復興相。入れ替わりに岸田外相、鈴木外務副大臣、河相外務次官。続いて在アルジェリア邦人拘束事件対策本部会議。▽9時16分　安全保障会議。この後、宇宙開発戦略本部。▽10時2分　閣議。続いて拉致問題対策本部。この後、日本経済再生本部。▽11時8分　田中原子力規制委員長、池田原子力規制庁長官ら。▽12時　山本衆院予算委員長。この後、菅官房長官。▽13時31分　杉田官房副長官。新藤総務相が続く。▽14時2分　報道各社の論説委員、テレビ各社の解説委員、内閣記者会と相次ぎ懇談。▽16時10分　毎日新聞のインタビュー。入れ替わりに米田、片桐新旧警察庁長官。▽17時　西村、樋口新旧警視総監。この後、北村情報官。▽17時25分　小野寺防衛相、西防衛省防衛政策局長、君塚陸上幕僚長。続いて和泉補佐官、藤井内閣参与。▽18時30分　ドイツのメルケル首相と電話。▽19時16分　公邸で浜田、本田両内閣参与。▽20時51分　伊原外務省北米局長、桜井官房副長官補。▽21時57分　私邸着。 
2013-01-26,20131.0,2013,1,26,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月26日,▽8時39分　富ケ谷の私邸発。▽8時50分　信濃町の慶応大病院で人間ドック。▽14時29分　私邸着。▽15時12分　渋谷区宇田川町のＮＨＫインターナショナルのスタジオから世界経済フォーラム年次総会（ダボス会議）関連会合に中継で参加。▽15時57分　公邸で公明党の山口代表、石井政調会長、西田参院国対委員長。▽16時21分　城内外務政務官。菅、杉田正副官房長官、米村危機管理監らが同席。続いて公邸前で報道各社のインタビュー。▽17時14分　私邸着。 
2013-01-27,20131.0,2013,1,27,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月27日,　午前中は富ケ谷の私邸で過ごす。▽16時17分　私邸発。▽16時41分　両国国技館で日本相撲協会の北の湖理事長。この後、大相撲初場所を観戦。▽17時44分　優勝した横綱・日馬富士に表彰状と内閣総理大臣杯を授与。▽18時32分　私邸着。▽20時35分　官邸で麻生財務相、真砂財務次官ら。▽21時2分　2013年度予算に関する政府与党会議。▽21時18分　菅官房長官。入れ替わりに甘利経済再生相。▽21時57分　私邸着。 
