,PM,date,publish_date,activities
50,Shinzo_Abe,2月16日,2013-02-17,▽9時48分　富ケ谷の私邸発。▽10時23分　公邸で時事通信社のインタビュー。▽11時10分　米紙ワシントン・ポストのインタビュー。▽12時28分　自民党本部で同党都連青年部・青年局合同定期大会。▽12時40分　ザ・キャピトルホテル東急のレストラン「オリガミ」で首相秘書官。▽13時18分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時8分　私邸着。 
54,Shinzo_Abe,2月20日,2013-02-21,▽7時17分　富ケ谷の私邸発。▽7時30分　官邸で世耕官房副長官。▽9時　参院予算委。▽12時10分　官邸でミャンマー元日本留学生協会のミインウェイ会長。▽13時　参院予算委。▽17時9分　官邸で財務省の真砂次官、中尾財務官、山崎国際局長。▽17時31分　杉田官房副長官。▽18時9分　加藤、世耕両官房副長官、斎木外務審議官、伊原外務省北米局長、財務官、上田経産省通商政策局長。▽19時16分　朝日新聞のインタビュー。▽20時15分　私邸着。 
55,Shinzo_Abe,2月21日,2013-02-22,▽9時6分　富ケ谷の私邸発。▽9時24分　官邸で環境省の南川次官、鈴木官房長。▽9時57分　岸田外相、外務省の河相次官、斎木外務審議官、伊原北米局長、西防衛省防衛政策局長ら。外相、次官、外務審議官、伊原局長が残る。▽12時　石破幹事長。この後、山口公明党代表。石破幹事長、井上公明党幹事長が同席。▽13時10分　斎木外務審議官。続いて山本科学技術相。▽17時2分　報道各社のインタビュー。▽17時51分　日米首脳会談のため政府専用機で羽田空港発。 
60,Shinzo_Abe,2月26日,2013-02-27,▽6時46分　富ケ谷の私邸発。▽7時6分　官邸で世耕官房副長官。▽7時54分　閣議。▽8時8分　日本経済再生本部。この後、教育再生実行会議。▽9時　参院予算委。▽12時9分　官邸着。▽14時21分　根本復興相。入れ替わりに北村情報官。▽15時51分　参院本会議。▽17時　参院の平田、山崎正副議長、岩城議運委員長、各会派にあいさつ回り。▽17時32分　官邸で報道各社のインタビュー。▽17時57分　臨時閣議。▽19時4分　産業競争力会議。▽19時56分　公邸で麻生副総理、甘利経済再生相、茂木経産相、ローソンの新浪剛史社長ら産業競争力会議の民間議員。▽21時42分　私邸着。 
64,Shinzo_Abe,3月2日,2013-03-03,▽9時49分　富ケ谷の私邸発。▽10時30分　公邸で韓国誌「月刊朝鮮」掲載用の西岡力東京基督教大教授との対談。▽11時59分　テレビ東京のインタビュー。続いて読売テレビの番組収録。▽13時2分　ザ・キャピトルホテル東急のレストラン「ＯＲＩＧＡＭＩ」で長谷川補佐官、谷口内閣審議官ら。▽14時27分　私邸着。▽16時47分　山梨県鳴沢村の別荘着。▽19時8分　富士河口湖町の中華料理店「湖宮」で昭恵夫人ら。▽21時18分　別荘着。 
65,Shinzo_Abe,3月3日,2013-03-04,▽7時52分　山梨県鳴沢村の別荘発。▽8時28分　静岡県小山町の東富士カントリークラブで昭恵夫人らとゴルフ。▽15時31分　同町の冨士霊園で祖父・岸元首相、父・晋太郎元外相の墓参り。続いて報道各社のインタビュー。▽18時5分　私邸着。 
68,Shinzo_Abe,3月6日,2013-03-07,▽8時15分　富ケ谷の私邸発。▽8時29分　官邸で世耕官房副長官。▽10時1分　参院本会議。▽11時28分　党本部で参院選立候補予定者。▽12時8分　官邸で根本復興相、池田原子力規制庁長官、菅原経産省製造産業局長。▽13時1分　参院本会議。▽16時43分　衆院予算委。▽16時58分　官邸で報道各社のインタビュー。▽17時11分　自民党の大島、公明党の井上両党東日本大震災復興加速化本部長ら。復興相らが同席。▽17時22分　トルコのユルマズ国防相。この後、韓国の朴槿恵大統領と電話。▽18時13分　スロベニアのパホル大統領。▽18時52分　元赤坂の迎賓館で東京オリンピック開催50年記念の首相主催夕食会。▽22時1分　私邸着。 
84,Shinzo_Abe,3月22日,2013-03-23,▽7時16分　富ケ谷の私邸発。▽7時31分　官邸で加藤官房副長官。▽8時7分　国会内で閣議。続いてＴＰＰ関係閣僚会議。▽9時1分　衆院財務金融委。▽11時39分　官邸で菅官房長官。入れ替わりに森元首相。▽13時2分　衆院本会議。▽15時55分　官邸で池田原子力規制庁長官。入れ替わりに菅長官。▽16時18分　米ハーバード大ケネディ行政大学院生の福島麻友美さんら。この後、教育再生実行会議。▽17時10分　北村情報官。▽17時31分　外務省の河相次官、鶴岡外務審議官、片上経済局長。続いて金沢防衛次官。▽18時13分　パプアニューギニアのオニール首相。この後、署名式。▽18時55分　報道各社のインタビュー。▽19時2分　ホテルオークラでプライムニュースの集い。▽19時18分　公邸でテレビ朝日の早河洋社長、幻冬舎の見城徹社長ら。菅長官が同席。▽21時39分　私邸で麻生副総理。 
86,Shinzo_Abe,3月24日,2013-03-25,▽6時42分　富ケ谷の私邸発。▽7時12分　やまびこ123号でＪＲ東京駅発。▽8時48分　ＪＲ福島駅着。▽10時28分　福島県浪江町のＪＲ浪江駅前商店街を視察。根本復興相、森消費者相らが同行。▽10時39分　同町の町役場を視察。▽11時11分　福島県富岡町のＪＲ富岡駅周辺を視察。▽11時28分　福島県楢葉町の上繁岡検問所で警察官を激励。▽13時15分　福島県郡山市の鈴木農園で昼食。佐藤福島県知事らが同席。この後、同農園のナメコ栽培場を視察。▽14時37分　同市の鈴木農園ハウス栽培場を視察。続いて報道各社のインタビュー。▽15時8分　同市の子ども向け屋内運動施設「ペップキッズ郡山」を視察。▽15時34分　同市の武田ファームを視察。▽16時4分　ＪＲ郡山駅で新党改革の荒井幹事長ら。▽16時26分　やまびこ188号で同駅発。▽16時28分　車中で新党改革の荒井幹事長。▽17時49分　ＪＲ東京駅着。▽18時11分　新宿区若葉のフランス料理店「オテル・ドゥ・ミクニ」で評論家の金美齢氏ら。▽20時19分　私邸着。 
89,Shinzo_Abe,3月27日,2013-03-28,▽8時8分　富ケ谷の私邸発。▽8時31分　官邸で臨時閣議。続いて世耕官房副長官。▽10時　参院財政金融委。▽12時5分　官邸で川上康男長府製作所会長ら。この後、小畑宏介日本青年会議所会頭ら。毎日新聞の岸井主筆が続く。▽13時20分　菅、加藤、世耕、杉田正副官房長官。続いてインドのクルシード外相。この後、ボーイスカウト日本連盟「富士章」受章者代表の森星里香さんら。▽14時25分　「リニアコライダー・コラボレーション」責任者のエバンス氏ら。大谷厚労審議官が続く。▽15時20分　河田町の「東京女子医科大学・早稲田大学連携先端生命医科学研究教育施設」を視察。▽15時55分　河田町の東京女子医大病院で患者ら。▽16時22分　報道各社のインタビュー。▽16時40分　官邸着。▽17時22分　山本科学技術相。続いて岸田外相、河相外務次官ら。▽18時14分　サウジアラビアのハリド国防副大臣。この後、谷内内閣参与。国際司法裁判所の小和田恒裁判官が続く。▽19時8分　公邸で新谷正義衆院議員ら。▽20時56分　私邸着。 
